Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0053	23.3063	39.1618	85.1723	56.1401	79.1154	67.6813	73.3939	91.7832	29.9245	22.7165	81.6137	58.8889	54.6697	32.6572	61.5483	84.7328	52.7105	47.7368	19.8609	33.6667	85.479	55.3564	78.1554	66.56	72.1377	91.8357	57.1082	55.7024	63.2078	82.2847	49.6364	46.9631	0.0	68.1472	0.0	0.0	0.0	0.0	0.0	64.789	103.2677	88.05	90.2146	92.6886	101.5918
sub-0054	17.7578	28.456	90.8546	58.9464	80.2628	66.1694	74.7505	93.2099	21.8667	16.3788	83.4301	56.7581	58.153	28.2791	60.464	88.2335	51.2593	46.1629	18.6428	31.8505	88.702	56.0303	78.1016	66.024	72.478	91.3952	55.0028	56.3941	62.8817	87.097	49.5263	47.7338	0.0	64.0772	0.0	0.0	0.0	0.0	0.0	67.6429	99.9585	91.2144	93.0737	97.1529	100.8855
sub-0055	15.4	28.4685	85.2648	55.7936	84.4442	67.074	76.6104	96.4413	24.3355	17.7286	82.5654	56.7786	58.6148	35.441	62.105	88.5832	48.9286	44.1948	16.0362	27.6041	84.1115	53.6259	81.5529	66.2603	73.5196	93.1986	56.3955	57.0164	63.0012	88.0491	46.6429	43.6003	0.0	66.3903	0.0	0.0	0.0	0.0	0.0	67.8211	94.5918	88.9757	93.9189	97.2459	99.3621
sub-0056	21.5741	36.3831	85.0009	55.647	81.535	70.3897	74.4291	93.3665	27.7068	21.3188	82.1955	56.5495	52.3302	31.1443	64.1162	87.9609	41.0196	46.5233	20.897	25.7691	83.7443	53.3114	80.9276	69.1152	74.5287	92.915	54.4955	52.7827	64.6033	87.4125	39.1176	47.8	0.0	66.5883	0.0	0.0	0.0	0.0	0.0	66.125	102.4265	89.448	95.6725	97.6562	102.3146
sub-0057	24.8662	35.1034	84.0514	54.1969	84.3423	71.4756	77.8451	96.6103	28.7945	19.0802	82.3028	58.6946	54.302	37.2504	67.1607	86.9923	53.4	51.9779	22.6731	30.0453	84.1377	52.0125	83.4744	70.541	75.7158	95.0233	56.4822	54.5387	67.0968	86.6836	49.7333	53.1753	0.0	63.1323	0.0	0.0	0.0	0.0	0.0	75.5882	103.4339	99.8342	96.7113	102.3393	104.8172
sub-0058	26.3417	36.4289	86.5102	55.9666	81.382	69.2639	75.3228	92.7625	29.7098	21.4432	83.3292	59.1508	58.134	38.1819	64.2087	87.3246	55.875	48.9205	23.7561	32.7282	86.9642	54.9018	81.1308	70.4864	75.5622	93.2334	56.7382	57.4125	67.1547	87.465	48.127	44.6752	0.0	65.5967	0.0	0.0	0.0	0.0	0.0	71.0993	100.2358	89.2032	96.2275	95.9776	99.2554
sub-0059	31.5374	40.0311	83.6906	56.5005	84.0015	70.8919	76.4495	93.6834	38.7651	23.1249	81.7274	56.9685	57.2929	38.646	67.4286	87.9151	49.8611	55.294	28.7848	35.8842	83.4306	56.0246	83.1279	69.357	75.6186	93.2086	57.9177	57.4735	66.3457	86.4971	45.8378	51.3082	0.0	67.4265	0.0	0.0	0.0	0.0	0.0	68.4404	102.0408	96.652	92.3468	94.7535	108.3286
sub-0060	22.3406	38.6951	85.5973	56.1453	82.2165	67.9864	73.3353	92.1448	27.5247	18.8723	82.362	59.4601	54.3902	32.4653	60.7814	87.0049	46.9412	50.8502	20.2033	27.9024	84.8664	53.8316	79.468	66.2442	72.6928	92.6919	57.5285	55.3142	61.2456	87.0812	52.5625	49.1863	0.0	65.4972	0.0	0.0	0.0	0.0	0.0	65.9493	102.568	94.5833	93.5617	91.5294	100.8656
sub-0061	23.1494	39.8667	85.2808	58.0582	83.2288	70.7721	76.1273	95.937	38.0653	19.5405	82.3251	57.5109	56.8146	39.5607	66.5492	87.7365	53.4444	48.2729	27.3327	29.1319	85.7513	56.9101	80.4828	69.905	74.5642	93.6882	55.7083	55.2235	66.0591	85.4993	51.3958	52.2549	0.0	64.0507	0.0	0.0	0.0	0.0	0.0	73.812	98.1997	93.9229	91.6615	94.0942	104.3204
sub-0062	22.5622	42.3518	87.081	59.6764	84.3216	72.513	78.6235	94.71	30.3648	22.6626	83.6874	60.7228	60.1296	39.6461	66.4086	89.0907	54.2712	47.2769	23.119	37.5139	86.5273	57.6921	83.6212	72.0783	77.0411	94.2047	59.8311	58.9152	67.6866	88.2144	54.4444	49.3553	0.0	66.8685	0.0	0.0	0.0	0.0	0.0	70.4939	101.8932	93.6377	95.1271	96.4984	103.1448
sub-0063	26.8169	36.0199	83.3982	52.7149	82.3365	69.4584	73.8093	92.56	32.7606	18.2731	80.9325	57.5196	55.2086	36.0609	66.1586	85.8724	51.0824	51.8867	26.1459	35.8357	83.097	50.8731	82.4253	69.8827	74.0277	93.1534	56.0679	55.2952	65.4146	87.9955	53.5333	50.2451	0.0	69.7538	0.0	0.0	0.0	0.0	0.0	75.0246	105.1394	96.8669	94.8829	96.8989	106.7178
sub-0064	18.4956	32.8254	84.4257	54.6847	83.6577	72.6959	79.2022	95.9209	24.8877	21.8623	81.0732	57.8919	55.7502	31.7254	68.3355	89.188	57.3333	48.0517	18.984	36.9172	82.4041	51.8153	82.7023	72.2396	77.1447	95.0186	56.7884	56.1345	67.5475	89.6922	57.75	48.1271	0.0	71.856	0.0	0.0	0.0	0.0	0.0	72.7669	108.3987	93.2552	99.6324	102.3708	104.6887
sub-0065	17.8024	35.1879	85.373	54.4808	80.1173	68.5399	75.2018	90.8775	22.623	18.336	82.5939	56.1786	56.068	29.2933	65.2269	85.5134	49.9	43.4522	18.2195	31.5783	86.0014	54.5535	78.9798	68.2647	74.5924	91.4181	54.628	55.2143	68.6649	84.9437	47.3667	46.7822	0.0	68.0731	0.0	0.0	0.0	0.0	0.0	76.4661	104.419	88.0864	96.5157	99.5243	103.6597
sub-0066	24.6399	33.8173	84.5205	53.8246	80.7468	65.1454	72.9972	90.7591	35.2749	18.4956	81.4686	56.3452	57.1434	36.7562	60.1356	87.9728	54.48	52.3437	24.8667	29.7546	83.4842	52.1195	79.2382	65.8717	71.2979	88.5459	55.5386	55.0371	60.8462	84.8491	45.4348	51.8084	0.0	68.2248	0.0	0.0	0.0	0.0	0.0	71.8323	98.1116	90.3693	89.6468	93.6134	105.0476
sub-0067	23.0381	33.8837	86.0375	57.1987	83.5554	72.3568	78.8127	97.2752	31.5277	22.0257	83.3694	58.1049	57.5893	34.5232	65.5843	89.1024	54.907	50.3035	23.8595	25.2802	86.8402	56.0522	82.8464	70.6324	76.6196	95.9056	57.3227	54.0067	67.0947	88.7289	49.0	50.4334	0.0	67.3183	0.0	0.0	0.0	0.0	0.0	73.1579	101.6359	88.3174	96.1328	99.3	100.8651
sub-0068	27.1367	39.3129	85.1309	57.5089	81.948	70.1322	76.5053	94.1655	30.3142	22.0448	83.0795	57.5899	58.2589	33.3918	65.7672	88.201	54.5333	50.1658	26.5959	31.8173	85.2354	55.7832	80.8924	69.4413	74.8232	95.9286	57.7889	57.4876	66.2148	88.1986	49.0	48.7412	0.0	66.4754	0.0	0.0	0.0	0.0	0.0	70.8571	101.5742	92.7052	96.191	97.4053	105.9967
sub-0069	26.5835	38.1168	85.0621	58.5765	84.8725	73.5755	78.8898	94.3891	30.928	19.711	83.0545	60.6789	58.5937	35.5032	66.805	87.5217	42.1538	51.8588	27.0716	29.96	85.394	55.5081	83.5318	73.6502	77.6484	93.5038	60.0304	58.4094	68.0655	87.7153	53.5556	50.46	0.0	68.7538	0.0	0.0	0.0	0.0	0.0	73.1322	103.8739	94.9959	96.3278	98.5765	101.8241
sub-0070	23.9039	41.1791	87.4133	58.018	85.0222	70.4352	77.8798	93.0617	29.7472	22.8938	85.1161	62.0416	61.8818	37.5078	67.6	89.5349	48.3333	49.1368	22.3563	32.6145	87.5109	56.4618	84.5342	71.364	77.3721	93.0319	61.2688	61.824	68.374	90.1455	47.2581	50.0557	0.0	67.3108	0.0	0.0	0.0	0.0	0.0	72.0789	99.7167	91.1252	96.03	95.8639	102.2869
sub-0071	24.327	36.1062	84.9215	56.0582	79.8953	68.253	76.0554	92.4875	32.5837	21.7693	83.4893	57.8335	55.6757	35.6638	64.0452	85.69	51.8621	47.9811	28.3978	27.9983	86.047	54.8187	83.0993	68.1324	75.1467	90.9062	56.4791	56.5128	65.6591	86.1646	44.6316	49.4455	0.0	66.003	0.0	0.0	0.0	0.0	0.0	70.1154	97.2573	90.4197	95.5605	97.2427	109.172
sub-0072	17.3417	38.6975	83.9011	55.9665	80.2363	67.937	74.8292	95.2539	29.0287	22.5977	80.9167	57.1175	56.8967	30.7795	62.7	86.3188	56.5938	45.3796	17.4585	36.2341	82.1141	52.9488	80.4418	66.8288	73.4299	92.909	56.0392	57.2326	63.7381	85.4394	48.7778	46.706	0.0	64.3336	0.0	0.0	0.0	0.0	0.0	77.4207	98.972	88.6411	96.7064	99.5529	100.5083
sub-0073	19.812	35.2209	84.9353	54.6994	82.18	71.68	76.1087	94.1953	31.3512	18.8674	81.3138	58.5298	55.8597	39.9938	66.4903	86.4653	54.1667	48.42	24.3923	32.116	85.5234	53.4028	81.6174	71.7426	76.0121	93.963	57.9064	56.1647	67.0472	85.8345	55.7143	49.8163	0.0	67.9224	0.0	0.0	0.0	0.0	0.0	75.017	105.7045	92.9732	100.6275	100.4903	104.9017
sub-0074	23.0768	34.3709	83.9936	54.835	84.4054	67.8478	73.7351	92.9498	30.8557	19.9817	82.4454	60.6	57.2267	37.0866	62.6889	86.7048	46.2051	51.0658	23.3539	39.3909	83.1952	51.7952	83.3988	66.8537	73.4324	91.8515	59.2043	56.8103	63.9428	85.8183	46.6667	49.5353	0.0	67.4229	0.0	0.0	0.0	0.0	0.0	72.0379	103.016	96.6536	96.3744	97.5346	102.1959
sub-0075	26.1151	35.0435	83.3334	54.0648	79.7014	68.3354	73.6269	90.4138	35.2992	18.4109	80.3601	59.2668	55.4807	37.9205	60.92	85.4572	53.5588	50.1629	21.8981	32.6691	85.3344	53.2708	79.879	70.1487	73.3673	89.8716	56.8905	54.1685	63.2351	87.3537	46.8333	48.8981	0.0	63.1823	0.0	0.0	0.0	0.0	0.0	62.828	101.7504	90.8832	93.6216	96.0027	102.6211
sub-0076	30.622	33.5778	86.0948	57.5493	85.7675	72.8945	79.252	95.4493	32.6905	24.0597	83.5567	60.24	58.5672	39.7713	66.1503	88.9365	57.5455	53.2038	25.6309	41.9534	85.452	55.9705	84.6877	73.7668	79.3009	95.0413	59.5439	58.7122	67.2558	87.6416	54.4211	52.8053	0.0	65.6793	0.0	0.0	0.0	0.0	0.0	72.8389	100.5441	91.0962	93.0355	94.2537	102.9671
sub-0077	25.8372	43.1197	84.6348	55.8804	79.1721	67.8484	74.8998	89.1956	32.3182	20.6651	78.7139	57.077	58.1247	32.6596	62.0151	82.0843	48.5714	50.2715	27.0154	42.4096	83.5979	53.5673	78.2201	67.7926	72.8194	87.3041	54.1484	55.2708	63.1128	81.3732	40.0714	48.516	0.0	71.226	0.0	0.0	0.0	0.0	0.0	68.0462	98.6684	90.4428	90.2297	95.8042	99.5746
sub-0078	18.1786	34.378	86.2458	56.6769	79.3829	66.8312	74.6143	92.3484	22.9917	21.4405	83.1659	55.3661	55.16	29.8062	61.7219	86.2082	44.8511	46.2647	20.5658	27.1759	84.915	54.1977	80.1865	66.3864	73.6564	91.9978	54.441	57.4409	61.8282	86.4255	37.625	45.9327	0.0	65.9158	0.0	0.0	0.0	0.0	0.0	73.0127	100.5074	89.6281	92.8653	96.7065	104.2767
sub-0079	24.0813	43.701	85.3611	58.8809	84.6712	69.8245	77.2262	94.8358	30.4176	22.1721	82.7852	62.1178	60.414	34.2913	64.899	89.2394	47.9412	51.0518	23.6038	27.4649	85.1279	57.0497	82.5403	70.0991	75.9079	94.7885	59.4568	59.5172	66.4897	87.8819	47.5128	47.5787	0.0	65.903	0.0	0.0	0.0	0.0	0.0	70.7049	97.5597	92.2204	90.426	97.8468	100.2318
sub-0080	27.2281	32.4132	86.0011	56.2057	83.9521	71.4454	76.8576	93.5483	31.7395	19.4673	83.9541	58.8612	57.3436	37.4044	65.782	88.4601	49.1	53.4501	25.1582	25.3348	84.6794	53.6674	81.7419	71.7644	77.4293	94.79	57.4507	56.7122	66.3824	87.3717	55.1111	48.1401	0.0	64.9455	0.0	0.0	0.0	0.0	0.0	73.0696	101.7766	91.7608	94.1254	95.4069	106.7549
sub-0081	27.5119	38.9021	85.8984	57.098	83.5124	69.4479	75.8309	92.0241	33.6101	21.5051	81.926	59.8229	59.6341	40.5633	63.8262	87.1631	52.8	50.622	27.0813	28.4878	84.0222	53.8658	82.319	68.9425	75.1942	92.3554	58.4531	58.1122	65.3732	86.7855	55.5	52.2567	0.0	65.5914	0.0	0.0	0.0	0.0	0.0	67.604	98.7548	95.8399	92.817	94.3861	102.7834
sub-0082	16.9822	34.7275	86.2338	54.6661	80.0886	67.3811	75.0183	93.7084	26.4991	18.4212	82.9758	58.1372	58.1169	33.8112	60.5813	87.7645	51.2436	46.4588	20.7806	27.7408	86.4173	53.5635	79.9378	66.6438	73.7891	91.5918	57.675	56.9359	62.9736	87.4055	49.0566	49.9917	0.0	67.0937	0.0	0.0	0.0	0.0	0.0	70.4041	99.7948	89.7008	94.7099	97.791	100.9748
sub-0083	17.8146	34.7832	86.1713	57.7079	82.7077	68.8437	76.1787	95.5403	27.1742	22.1114	85.0692	59.6042	60.3878	34.7933	64.8304	90.3939	53.375	48.004	17.8863	36.5108	86.1182	56.1481	81.3561	69.9765	76.3906	95.6578	59.3215	60.2368	67.0616	89.2148	55.8	48.3919	0.0	67.0863	0.0	0.0	0.0	0.0	0.0	68.2822	100.9732	82.1074	93.9112	97.6192	103.1243
sub-0084	28.4096	42.9561	86.352	57.4214	84.9649	71.85	78.6603	95.7635	33.734	23.6628	83.7498	62.9248	60.1162	36.7168	66.0126	89.3087	44.8101	53.5166	25.6756	36.708	85.936	55.5142	84.2574	72.2338	77.4297	95.1055	60.5351	58.7233	68.0526	89.463	56.6923	51.4615	0.0	70.3366	0.0	0.0	0.0	0.0	0.0	72.7407	103.012	95.1784	95.5459	99.3979	108.4688
sub-0085	28.6132	45.2683	86.0944	57.7198	82.8586	70.0195	75.9442	92.5097	34.3459	24.0589	81.0098	60.0047	56.1127	39.0984	62.3653	86.5766	52.4583	55.1919	28.0258	36.295	85.6073	55.5498	83.5335	70.6462	75.0483	91.7663	58.1047	56.5684	64.9908	86.4004	55.1	53.5778	0.0	67.9497	0.0	0.0	0.0	0.0	0.0	76.0469	102.6921	94.2617	95.0706	99.3801	103.1838
sub-0086	26.8168	33.8307	83.8509	57.4829	83.6101	68.9151	76.0002	93.8446	31.3557	22.322	80.1924	59.9755	58.0229	39.5132	65.1895	87.8111	57.6538	53.4625	26.2609	28.8511	84.1087	56.1959	81.9183	70.555	75.6418	92.701	58.1151	58.2454	67.0775	86.598	57.0	52.2909	0.0	66.085	0.0	0.0	0.0	0.0	0.0	68.6944	100.5572	91.6802	92.0434	91.1368	101.3289
sub-0087	27.2785	38.6593	84.837	54.0806	84.2208	72.9518	77.6907	94.6701	32.281	21.5418	83.1316	58.6412	56.216	34.6695	65.3717	90.7249	0.0	54.0206	27.4037	33.2107	85.0819	52.6801	83.2907	74.1549	77.9356	96.042	58.622	57.4992	68.8475	91.1143	61.125	54.4868	0.0	68.1359	0.0	0.0	0.0	0.0	0.0	74.3267	105.3636	94.3788	97.0825	101.1384	104.1108
sub-0088	15.5455	36.7389	84.7684	53.9841	81.0702	66.7293	74.5545	90.9118	24.0427	17.5044	82.8257	58.2431	57.0661	34.1667	62.0027	86.8276	54.0377	45.475	19.5255	31.8424	84.6867	52.5893	80.7416	67.5679	74.1689	90.1002	55.9512	56.1204	65.4262	85.8877	46.3333	49.6955	0.0	61.3857	0.0	0.0	0.0	0.0	0.0	66.8931	102.4514	88.0991	95.4675	99.387	100.9012
sub-0089	19.8944	37.2691	87.2424	59.0451	85.0851	74.5082	81.7509	98.1478	28.5656	21.9983	85.0471	60.7923	59.1856	33.25	70.7948	89.4486	49.4	49.1944	21.3031	29.7188	85.9426	56.8889	83.9405	74.5632	81.0895	97.5366	58.8076	59.0408	70.6362	89.64	53.1944	48.6391	0.0	66.7885	0.0	0.0	0.0	0.0	0.0	69.5267	100.8644	87.3167	97.1707	99.6913	103.0145
sub-0090	17.4287	36.6554	84.4406	53.38	81.3367	68.8028	74.253	92.4432	24.6036	18.7841	83.7412	55.8071	54.461	28.695	64.2488	87.9221	56.0	46.3534	17.2856	32.1337	83.2685	51.2892	80.3251	67.6429	74.0988	92.543	54.6278	57.1307	64.5402	88.0	46.7273	43.1966	0.0	66.8025	0.0	0.0	0.0	0.0	0.0	67.9701	102.9932	94.2398	94.5878	98.7664	100.541
sub-0091	26.3543	33.1417	87.787	57.1598	83.8008	72.0064	76.1946	93.5752	31.2305	21.8178	85.3371	59.089	57.5693	34.3654	64.3153	89.3153	54.2581	50.7584	19.9292	36.5216	86.4911	55.0729	82.224	70.7951	75.2965	92.5727	57.6436	54.1338	65.7423	87.9795	50.6667	46.4374	0.0	66.5776	0.0	0.0	0.0	0.0	0.0	66.5441	100.3494	89.2037	94.1693	99.6284	101.9427
sub-0092	20.6715	35.8726	83.9753	57.1365	84.3885	71.6862	78.3268	95.5995	28.6204	19.475	82.605	60.7152	56.6465	38.778	65.0427	88.7685	56.3103	44.1889	19.1998	35.7579	83.654	54.609	82.3706	70.3031	75.6908	94.4758	58.5085	58.475	66.5856	87.6477	44.5556	45.3735	0.0	65.2243	0.0	0.0	36.8	0.0	0.0	70.9149	99.3167	89.1203	92.2551	96.6957	102.731
sub-0093	23.6547	36.6469	86.0015	55.1843	83.937	69.4462	75.9993	93.5175	28.7118	19.9883	82.4641	58.8857	59.4625	35.726	64.6906	87.82	54.0	47.6145	21.6854	33.8166	85.2185	53.455	82.3785	69.3351	75.3101	92.8272	58.6744	57.6074	65.0044	87.7653	45.6667	46.515	0.0	65.9483	0.0	0.0	0.0	0.0	0.0	71.5368	100.1063	88.4352	92.9465	92.8809	102.8439
sub-0094	39.3694	40.9084	84.0754	56.2045	80.5612	68.8069	73.8683	91.2643	39.3663	20.8282	83.4653	57.7732	55.8855	42.8989	62.9536	88.0074	47.88	58.6277	32.1137	38.6297	83.627	54.4403	79.4781	68.4485	73.733	90.5901	56.7821	55.1806	64.209	86.2853	53.1333	48.4514	0.0	65.5342	0.0	0.0	0.0	0.0	0.0	70.1159	96.8193	96.8615	95.9102	97.4441	106.3282
sub-0095	27.1541	37.6082	85.5492	55.8156	84.1327	69.4969	74.7767	94.0266	29.8577	21.528	82.6011	58.8861	58.3915	40.5053	63.3063	88.6399	51.8889	52.1802	24.415	29.8234	83.2965	53.077	81.6696	69.2277	74.2879	92.9838	55.8819	57.6683	64.4049	87.1894	55.7857	51.3108	0.0	67.3944	0.0	0.0	0.0	0.0	0.0	70.438	101.2247	92.6952	95.8786	96.5242	102.1945
sub-0096	19.7554	32.201	87.2081	54.9192	79.1955	68.3064	73.0949	92.0472	25.6549	18.3196	81.0439	56.0095	53.8559	31.593	62.0624	85.8946	44.4	46.5269	19.8313	32.4375	86.2861	53.8819	78.7595	66.844	73.1283	92.6381	54.8092	54.9385	63.5127	86.2056	51.0	48.3511	0.0	66.6654	0.0	0.0	0.0	0.0	0.0	71.663	100.9927	95.3805	94.6366	92.2394	104.004
sub-0097	28.2671	41.6483	85.6245	55.7684	80.7157	67.7904	73.1667	89.8617	30.9249	20.6821	81.6297	58.8318	57.1645	36.0505	61.5599	83.7221	55.0	50.5201	26.0092	33.8015	85.5981	54.5093	79.6621	66.6833	71.6253	88.9983	57.1919	54.3115	63.5686	83.1641	50.1538	47.9357	0.0	67.596	0.0	0.0	0.0	0.0	0.0	63.099	99.428	93.5335	95.5233	94.5469	104.5128
sub-0098	17.1072	34.833	84.5914	56.435	81.6036	68.0423	75.5162	94.1776	37.1192	23.0528	81.7283	59.6342	58.1139	36.6109	63.6015	87.5168	52.2353	44.8317	15.1221	34.7709	85.1619	55.2981	81.7218	67.9402	74.1477	90.9615	58.6299	55.6935	65.0952	85.8389	47.2759	44.2177	0.0	64.4088	0.0	0.0	0.0	0.0	0.0	65.935	97.3531	91.6192	93.5639	97.666	95.8248
sub-0099	19.3355	36.8174	84.7526	56.8375	83.1218	68.4809	76.968	91.9261	41.3904	22.097	82.7571	58.5462	58.4487	37.5689	62.1586	86.8017	55.8	47.2249	15.7493	29.4412	84.73	55.5823	81.1831	67.9309	75.1437	91.4789	57.9704	57.329	64.551	87.6516	54.0	44.5975	0.0	66.4128	0.0	0.0	0.0	0.0	0.0	79.482	98.3885	96.2655	97.0069	96.893	96.6124
sub-0100	26.1399	34.457	85.3335	57.923	83.5948	69.4988	76.1353	92.6357	27.4599	20.6151	81.9445	58.4093	59.3399	37.0836	64.2319	86.5537	50.9375	52.5066	20.9934	29.8969	83.7699	55.1917	81.503	68.1353	75.3684	92.4555	58.4242	56.912	66.0791	87.4044	50.5714	50.8563	0.0	70.6311	0.0	0.0	0.0	0.0	0.0	69.6512	100.443	93.902	95.0818	98.4614	98.5152
sub-0101	26.2425	43.1375	85.7711	54.601	85.6245	74.4342	79.1038	96.9494	30.8506	21.5534	82.5296	59.7683	58.0747	40.5432	68.352	88.0273	50.1111	52.103	22.1514	37.2722	85.3075	52.4125	84.9631	72.8445	76.7974	96.0595	58.9596	58.1303	66.8979	88.058	42.72	46.8416	0.0	68.3854	0.0	0.0	0.0	0.0	0.0	70.7203	102.1699	93.5924	96.652	99.7419	105.1259
sub-0102	19.408	35.2632	83.7028	54.2957	79.7536	67.3208	74.4815	91.6712	27.3051	19.8988	82.1246	56.8184	56.4905	34.6748	64.1863	87.8864	45.7037	43.4659	23.4157	43.5408	85.0145	53.8914	80.6831	68.465	74.8241	92.2885	57.173	57.0595	66.5846	87.6834	46.6667	45.7037	0.0	64.6104	0.0	0.0	0.0	0.0	0.0	67.9118	98.2465	89.5487	95.4847	96.2159	99.1898
sub-0103	26.1269	41.9551	84.6689	53.061	82.3737	69.8813	74.2448	94.0628	30.8716	19.4048	83.021	59.2077	57.4045	36.118	65.344	87.9018	38.5286	50.069	23.2101	33.8333	84.6279	51.6329	83.1273	69.6196	74.0166	92.9338	57.7888	57.5192	64.8912	87.183	52.1538	47.4967	0.0	68.5724	0.0	0.0	0.0	0.0	0.0	72.1544	102.8363	90.9779	94.8545	97.9128	102.0181
sub-0104	30.5579	41.5266	85.8192	56.0504	84.5719	69.8014	75.3188	93.459	40.7735	24.0313	82.8931	60.2902	58.6681	43.208	63.8887	87.8385	47.3636	52.924	30.7314	33.5014	85.9571	54.3351	82.82	70.4675	74.8165	93.5567	57.6305	57.8333	65.4341	88.0716	48.2414	49.5433	0.0	69.8938	0.0	0.0	0.0	0.0	0.0	76.7156	102.5498	95.8848	98.9077	101.1061	104.8995
sub-0105	28.2252	42.5862	83.2153	54.8176	84.8699	71.7051	79.4066	97.1363	34.3384	21.5708	82.8588	60.3919	59.2482	37.249	66.3487	88.0142	45.5714	53.3918	31.557	30.4556	83.172	53.9925	83.9298	72.1704	78.2548	96.5762	59.5858	59.5333	67.5121	86.4539	46.5556	53.257	0.0	67.8037	0.0	0.0	0.0	0.0	0.0	70.6148	104.5198	97.1497	95.0167	103.0516	104.5985
sub-0106	25.0142	36.5066	86.2683	55.6763	85.2843	71.3777	76.5332	96.513	31.2236	18.9138	83.7938	59.6175	56.2173	39.2997	68.8681	90.1236	55.3571	47.7087	20.4931	30.9816	84.7739	53.5095	84.0569	70.898	75.7584	96.0263	57.0301	57.1357	69.3343	89.6517	55.9375	45.7268	0.0	60.5017	0.0	0.0	0.0	0.0	0.0	71.0806	102.9378	92.4452	94.124	98.0437	100.6513
